gene_symbol	query_name	mpi
1eIZ	7uWz	-0.47315006467812004
ho5m	7uWz	-2.0826922685576053
pTbc	7uWz	-0.24520642255066602
003j	7uWz	-0.2248041308282347
zeOI	7uWz	1.1533699193067082
WG3x	7uWz	-1.25597843325389
9WGi	7uWz	0.6650973670743215
cmF8	7uWz	1.7370267695533845
rqri	7uWz	1.437693771226886
TNT4	7uWz	2.93986354576351
Tofr	7uWz	2.0131598493631797
5arJ	7uWz	2.6936733835348456
BDTj	7uWz	1.551263250368156
p1My	7uWz	0.2380039296124842
SmcG	7uWz	1.6090971354031796
jJ2J	7uWz	1.567865763045377
PRY4	7uWz	0.22365767600319858
KMTI	7uWz	1.2595050004457309
MBhj	7uWz	0.7168388803437955
6J6k	7uWz	1.7765603210180383
dwaa	7uWz	1.279151762045462
KWQg	7uWz	-0.6841859968598553
TD4b	7uWz	0.6266772013772465
